Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_L_11,1N4148SW,D_SOD-323,133.5,-46.0,187.12,bottom
D_L_12,1N4148SW,D_SOD-323,115.5,-34.5,185.0,bottom
D_L_13,1N4148SW,D_SOD-323,96.935167,-26.0,184.5,bottom
D_L_14,1N4148SW,D_SOD-323,76.535167,-30.5,186.0,bottom
D_L_15,1N4148SW,D_SOD-323,56.15,-37.0,186.0,bottom
D_L_16,1N4148SW,D_SOD-323,36.0,-34.5,178.0,bottom
D_L_21,1N4148SW,D_SOD-323,128.935167,-65.5,194.0,bottom
D_L_22,1N4148SW,D_SOD-323,112.0,-54.0,191.4,bottom
D_L_23,1N4148SW,D_SOD-323,93.977632,-46.08422,190.0,bottom
D_L_24,1N4148SW,D_SOD-323,73.0,-50.0,193.0,bottom
D_L_25,1N4148SW,D_SOD-323,49.45,-56.632871,195.9,bottom
D_L_26,1N4148SW,D_SOD-323,28.960735,-55.151482,198.2,bottom
D_L_31,1N4148SW,D_SOD-323,121.935167,-84.173809,201.0,bottom
D_L_32,1N4148SW,D_SOD-323,105.958577,-73.657901,199.0,bottom
D_L_33,1N4148SW,D_SOD-323,87.458577,-65.157901,199.0,bottom
D_L_34,1N4148SW,D_SOD-323,65.538866,-70.955188,201.5,bottom
D_L_35,1N4148SW,D_SOD-323,40.430594,-75.723189,207.399,bottom
D_L_36,1N4148SW,D_SOD-323,19.425213,-73.766721,208.75,bottom
D_L_41,1N4148SW,D_SOD-323,146.0,-131.948511,242.0,bottom
D_L_42,1N4148SW,D_SOD-323,134.5,-115.448511,227.0,bottom
D_L_43,1N4148SW,D_SOD-323,118.439559,-104.153481,205.0,bottom
D_L_44,1N4148SW,D_SOD-323,98.5,-100.448511,178.0,bottom
D_L_45,1N4148SW,D_SOD-323,149.1,-75.75,180.0,bottom
D_L_46,1N4148SW,D_SOD-323,123.0,-122.948511,180.0,bottom
D_R_11,1N4148SW,D_SOD-323,208.5,-46.0,172.88,bottom
D_R_12,1N4148SW,D_SOD-323,226.5,-34.5,175.0,bottom
D_R_13,1N4148SW,D_SOD-323,245.064833,-26.0,175.5,bottom
D_R_14,1N4148SW,D_SOD-323,265.464833,-30.5,174.0,bottom
D_R_15,1N4148SW,D_SOD-323,285.85,-37.0,174.0,bottom
D_R_16,1N4148SW,D_SOD-323,306.0,-34.5,182.0,bottom
D_R_21,1N4148SW,D_SOD-323,213.064833,-65.5,166.0,bottom
D_R_22,1N4148SW,D_SOD-323,230.0,-54.0,168.6,bottom
D_R_23,1N4148SW,D_SOD-323,248.022368,-46.08422,170.0,bottom
D_R_24,1N4148SW,D_SOD-323,269.0,-50.0,167.0,bottom
D_R_25,1N4148SW,D_SOD-323,292.55,-56.632871,164.1,bottom
D_R_26,1N4148SW,D_SOD-323,313.039265,-55.151482,161.8,bottom
D_R_31,1N4148SW,D_SOD-323,220.064833,-84.173809,159.0,bottom
D_R_32,1N4148SW,D_SOD-323,236.041423,-73.657901,161.0,bottom
D_R_33,1N4148SW,D_SOD-323,254.541423,-65.157901,161.0,bottom
D_R_34,1N4148SW,D_SOD-323,276.461134,-70.955188,158.5,bottom
D_R_35,1N4148SW,D_SOD-323,301.569406,-75.723189,152.601,bottom
D_R_36,1N4148SW,D_SOD-323,322.574787,-73.766721,151.25,bottom
D_R_41,1N4148SW,D_SOD-323,196.0,-131.948511,118.0,bottom
D_R_42,1N4148SW,D_SOD-323,207.5,-115.448511,133.0,bottom
D_R_43,1N4148SW,D_SOD-323,223.560441,-104.153481,155.0,bottom
D_R_44,1N4148SW,D_SOD-323,243.5,-100.448511,182.0,bottom
D_R_45,1N4148SW,D_SOD-323,185.7,-75.5,180.0,bottom
D_R_46,1N4148SW,D_SOD-323,219.0,-122.948511,180.0,bottom
J7,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,244.914183,-112.660946,60.0,bottom
J8,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,97.457707,-113.089055,300.0,bottom
K_L_11,SW_Push,GatronLP_Hotswap_1u,134.045191,-37.681362,-7.12,top
K_L_12,SW_Push,GatronLP_Hotswap_1u,115.740113,-26.094154,-5.0,top
K_L_13,SW_Push,GatronLP_Hotswap_1u,96.939174,-17.708186,-4.5,top
K_L_14,SW_Push,GatronLP_Hotswap_1u,77.342288,-21.882683,-6.0,top
K_L_15,SW_Push,GatronLP_Hotswap_1u,56.557121,-28.781194,-6.0,top
K_L_16,SW_Push,GatronLP_Hotswap_1u,35.117165,-25.874151,2.0,top
K_L_21,SW_Push,GatronLP_Hotswap_1u,130.673782,-57.487034,-14.0,top
K_L_22,SW_Push,GatronLP_Hotswap_1u,113.260814,-46.151137,-11.4,top
K_L_23,SW_Push,GatronLP_Hotswap_1u,95.154916,-37.732552,-10.0,top
K_L_24,SW_Push,GatronLP_Hotswap_1u,74.668486,-41.946346,-13.0,top
K_L_25,SW_Push,GatronLP_Hotswap_1u,51.699736,-48.593338,-15.9,top
K_L_26,SW_Push,GatronLP_Hotswap_1u,31.500203,-47.354936,-18.2,top
K_L_31,SW_Push,GatronLP_Hotswap_1u,125.121512,-76.504197,-21.0,top
K_L_32,SW_Push,GatronLP_Hotswap_1u,108.505992,-65.440679,-19.0,top
K_L_33,SW_Push,GatronLP_Hotswap_1u,90.805992,-57.440679,-19.0,top
K_L_34,SW_Push,GatronLP_Hotswap_1u,69.125624,-61.094893,-21.5,top
K_L_35,SW_Push,GatronLP_Hotswap_1u,44.471372,-67.928396,-27.4,top
K_L_36,SW_Push,GatronLP_Hotswap_1u,23.673663,-66.05229,-28.75,top
K_L_41,SW_Push,GatronLP_Hotswap_1u,154.603663,-126.801103,-62.0,top
K_L_42,SW_Push,GatronLP_Hotswap_1u,141.544802,-109.189016,-47.0,top
K_L_43,SW_Push,GatronLP_Hotswap_1u,122.089327,-96.376309,-25.0,top
K_L_44,SW_Push,GatronLP_Hotswap_1u,97.735959,-91.936311,2.0,top
K_R_11,SW_Push,GatronLP_Hotswap_1u,206.664833,-37.026489,7.12,top
K_R_12,SW_Push,GatronLP_Hotswap_1u,224.964833,-25.626489,5.0,top
