Designator,Mid X,Mid Y,Rotation,Layer
C3,236.685,-128.829666,270.0,top
C4,229.685,-128.879666,90.0,top
D_R_11,262.585,-101.979666,187.12,top
D_R_12,280.685,-89.979666,185.0,top
D_R_13,299.285,-82.179666,184.5,top
D_R_14,319.685,-86.179666,186.0,top
D_R_21,267.285,-121.579666,194.0,top
D_R_22,284.585,-110.079666,191.4,top
D_R_23,302.185,-101.879666,190.0,top
D_R_24,323.285,-105.779666,193.0,top
D_R_25,341.285,-97.479666,186.0,top
D_R_26,359.785,-90.479666,178.0,top
D_R_31,274.285,-140.479666,201.0,top
D_R_32,290.685,-129.479666,199.0,top
D_R_33,308.285,-121.579666,199.0,top
D_R_34,330.681301,-124.983365,201.5,top
D_R_35,347.985,-117.279666,195.9,top
D_R_36,367.585,-111.479666,198.2,top
D_R_37,386.3796,-104.885067,202.0,top
D_R_41,252.085,-187.979666,242.0,top
D_R_42,262.440637,-172.624029,227.0,top
D_R_43,278.170123,-161.394544,205.0,top
D_R_44,296.985,-157.579666,178.0,top
D_R_45,358.363456,-135.401211,207.4,top
D_R_46,377.660068,-129.604598,208.75,top
J7,242.085,-155.879666,270.0,bottom
K_R_11,262.007187,-93.647539,7.12,top
K_R_12,280.168077,-82.116978,5.0,top
K_R_13,298.935064,-73.74389,4.5,top
K_R_14,318.633874,-77.879195,6.0,top
K_R_21,265.847092,-113.420359,14.0,top
K_R_22,283.083157,-101.993178,11.4,top
K_R_23,301.093671,-93.616608,10.0,top
K_R_24,321.784402,-97.810765,13.0,top
K_R_25,340.633874,-89.379195,6.0,top
K_R_26,360.319035,-82.17142,358.0,top
K_R_31,271.871544,-132.657198,21.0,top
K_R_32,288.353025,-121.552106,19.0,top
K_R_33,306.053025,-113.552106,19.0,top
K_R_34,327.900801,-117.25779,21.5,top
K_R_35,346.164875,-109.235615,15.9,top
K_R_36,365.304971,-103.44885,18.2,top
K_R_37,383.929905,-96.95811,22.0,top
K_R_41,244.677541,-184.113216,62.0,top
K_R_42,257.047778,-166.62998,47.0,top
K_R_43,275.16882,-153.654306,25.0,top
K_R_44,297.700241,-149.285069,358.0,top
K_R_45,355.008317,-128.044207,27.4,top
K_R_46,373.828438,-122.335777,28.75,top
OL8,229.869241,-77.414737,270.0,top
R3,232.885,-134.179666,90.0,bottom
R4,229.685,-139.679666,90.0,bottom
SW3,232.985,-123.779666,180.0,bottom
SW4,243.074013,-140.618679,0.0,top
